,Latitude,Longitude,MedInc
0,37.88,-122.23,8.3252
1,37.86,-122.22,8.3014
2,37.85,-122.24,7.2574
3,37.85,-122.25,5.6431
4,37.85,-122.25,3.8462
5,37.85,-122.25,4.0368
6,37.84,-122.25,3.6591
7,37.84,-122.25,3.12
8,37.84,-122.26,2.0804
9,37.84,-122.25,3.6912
10,37.85,-122.26,3.2031
11,37.85,-122.26,3.2705
12,37.85,-122.26,3.075
13,37.84,-122.26,2.6736
14,37.85,-122.26,1.9167
15,37.85,-122.26,2.125
16,37.85,-122.27,2.775
17,37.85,-122.27,2.1202
18,37.84,-122.26,1.9911
19,37.84,-122.27,2.6033
20,37.85,-122.27,1.3578
21,37.85,-122.27,1.7135
22,37.84,-122.27,1.725
23,37.84,-122.27,2.1806
24,37.84,-122.27,2.6
25,37.85,-122.28,2.4038
26,37.85,-122.28,2.4597
27,37.85,-122.28,1.808
28,37.84,-122.28,1.6424
29,37.84,-122.28,1.6875
30,37.84,-122.28,1.9274
31,37.84,-122.28,1.9615
32,37.84,-122.27,1.7969
33,37.83,-122.27,1.375
34,37.83,-122.27,2.7303
35,37.83,-122.27,1.4861
36,37.83,-122.27,1.0972
37,37.83,-122.28,1.4103
38,37.83,-122.26,3.48
39,37.83,-122.26,2.5898
40,37.83,-122.26,2.0978
41,37.83,-122.26,1.2852
42,37.84,-122.26,1.025
43,37.84,-122.26,3.9643
44,37.83,-122.26,3.0125
45,37.83,-122.26,2.6768
46,37.83,-122.26,2.026
47,37.82,-122.27,1.7348
48,37.82,-122.26,0.9506
49,37.82,-122.27,1.775
50,37.82,-122.27,0.9218
51,37.82,-122.27,1.5045
52,37.82,-122.27,1.1108
53,37.82,-122.27,1.2475
54,37.82,-122.28,1.6098
55,37.82,-122.28,1.4113
56,37.82,-122.28,1.5057
57,37.82,-122.28,0.8172
58,37.82,-122.28,1.2171
59,37.82,-122.29,2.5625
60,37.83,-122.29,3.3929
61,37.82,-122.29,6.1183
62,37.81,-122.29,0.9011
63,37.81,-122.3,1.1909999999999998
64,37.81,-122.3,2.5938
65,37.81,-122.3,1.1667
66,37.81,-122.3,0.8056
67,37.8,-122.29,2.6094
68,37.81,-122.3,1.8516
69,37.81,-122.29,0.9802
70,37.81,-122.29,1.7719
71,37.81,-122.29,0.7286
72,37.81,-122.29,1.75
73,37.81,-122.29,0.4999
74,37.81,-122.29,2.483
75,37.81,-122.28,0.9241
76,37.81,-122.28,2.4464
77,37.81,-122.28,1.1111
78,37.81,-122.29,0.8026
79,37.8,-122.28,2.0114
80,37.81,-122.28,1.5
81,37.81,-122.27,1.1667
82,37.81,-122.28,1.5208
83,37.81,-122.28,0.8075
84,37.81,-122.28,1.8088
85,37.81,-122.28,2.4083
86,37.81,-122.27,0.977
87,37.81,-122.27,0.76
88,37.8,-122.27,0.9722
89,37.8,-122.27,1.2434
90,37.8,-122.27,2.0938
91,37.8,-122.28,0.8668
92,37.8,-122.28,0.75
93,37.79,-122.27,2.6354
94,37.8,-122.27,1.8477
95,37.8,-122.26,2.0096
96,37.82,-122.26,2.8345
97,37.81,-122.26,2.0062
98,37.82,-122.26,1.2185
99,37.82,-122.26,2.6104
100,37.81,-122.25,2.4912
101,37.81,-122.25,3.2177
102,37.81,-122.25,3.125
103,37.81,-122.25,2.5795
104,37.81,-122.26,2.8406
105,37.82,-122.24,4.9306
106,37.81,-122.24,3.2727
107,37.81,-122.25,3.1691
108,37.82,-122.24,3.9
109,37.82,-122.25,3.9063
110,37.82,-122.25,5.0917
111,37.82,-122.25,2.6429
112,37.82,-122.25,3.0233
113,37.83,-122.25,3.1484
114,37.83,-122.25,3.4722
115,37.83,-122.25,3.1429
116,37.83,-122.25,2.4234
117,37.83,-122.25,3.0897
118,37.84,-122.23,5.8596
119,37.84,-122.23,5.2868
120,37.83,-122.24,5.956
121,37.85,-122.24,4.9643
122,37.85,-122.23,6.3434
123,37.84,-122.24,5.1773
124,37.85,-122.24,7.2354
125,37.85,-122.22,5.457000000000001
126,37.84,-122.22,7.5
127,37.84,-122.21,6.0194
128,37.83,-122.21,7.5544
129,37.84,-122.2,6.0666
130,37.84,-122.21,7.0548
131,37.84,-122.19,11.6017
132,37.84,-122.2,7.4882
133,37.83,-122.21,6.8976
134,37.83,-122.19,8.2049
135,37.83,-122.2,8.401
136,37.83,-122.19,6.8538
137,37.82,-122.19,8.317
138,37.82,-122.2,7.0175
139,37.82,-122.2,6.3302
140,37.81,-122.18,6.3624
141,37.82,-122.21,7.0549
142,37.81,-122.2,6.7851
143,37.8,-122.21,2.8929
144,37.8,-122.21,3.0812
145,37.81,-122.21,5.2402
146,37.81,-122.22,6.5217
147,37.8,-122.22,3.2632
148,37.8,-122.22,3.0298
149,37.8,-122.22,4.5428
150,37.81,-122.22,4.072
151,37.81,-122.22,5.3509
152,37.8,-122.23,3.1603
153,37.81,-122.23,4.7708
154,37.81,-122.22,8.1564
155,37.81,-122.23,8.8793
156,37.81,-122.24,6.8591
157,37.81,-122.24,6.0302
158,37.81,-122.23,7.507999999999999
159,37.81,-122.24,2.7477
160,37.8,-122.24,2.1944
161,37.8,-122.25,3.0149
162,37.81,-122.24,3.675
163,37.81,-122.25,3.225
164,37.8,-122.25,2.9345
165,37.8,-122.25,2.1429
166,37.8,-122.25,1.6121
167,37.8,-122.25,1.3929
168,37.79,-122.24,2.3173
169,37.79,-122.25,1.7772
170,37.79,-122.25,2.6458
171,37.79,-122.25,2.181
172,37.8,-122.25,2.2303
173,37.8,-122.25,1.6504
174,37.8,-122.24,2.2697
175,37.8,-122.24,2.1563
176,37.8,-122.24,2.1348
177,37.8,-122.24,2.6292
178,37.8,-122.23,2.3833
179,37.8,-122.24,2.957
180,37.8,-122.24,2.5238
181,37.8,-122.23,1.9375
182,37.8,-122.23,1.9028
183,37.8,-122.23,2.25
184,37.8,-122.23,2.3929
185,37.79,-122.23,2.1917
186,37.79,-122.23,2.9357
187,37.79,-122.23,1.8854
188,37.79,-122.24,2.1638
189,37.79,-122.24,2.125
190,37.79,-122.24,3.375
191,37.79,-122.24,2.2542
192,37.79,-122.25,2.1
193,37.79,-122.25,1.6
194,37.79,-122.25,3.625
195,37.8,-122.26,1.6929
196,37.77,-122.22,1.6471
